# DRAFT emoji-data.txt
# For details about the format and other information, see /../../../reports/tr51/index.html#Data_Files.
#
# Format
# Code ;	Default Style ;	Ordering ;	Annotations ;	Sources	# Version Char Name
#
U+1F460 ;	emoji ;	225 ;	clothing, heel, shoe ;	j 	# V6.0 (👠) high-heeled shoe
U+1F461 ;	emoji ;	226 ;	clothing, sandal, woman ;	j 	# V6.0 (👡) womans sandal
U+1F462 ;	emoji ;	227 ;	boot, clothing, woman ;	j 	# V6.0 (👢) womans boots
U+1F451 ;	emoji ;	228 ;	clothing, crown ;	j 	# V6.0 (👑) crown
U+1F452 ;	emoji ;	229 ;	clothing, hat, woman ;	j 	# V6.0 (👒) womans hat
U+1F3A9 ;	emoji ;	230 ;	activity, entertainment, hat, object, top, tophat ;	j 	# V6.0 (🎩) top hat
U+26D1 ;	text ;	231 ;	cross, helmet, travel ;	a 	# V5.2 (⛑) helmet with white cross
U+1F435 ;	emoji ;	232 ;	animal, face, monkey, nature ;	j 	# V6.0 (🐵) monkey face
U+1F648 ;	emoji ;	233 ;	evil, face, forbidden, gesture, monkey, no, not, prohibited, see ;	j 	# V6.0 (🙈) see-no-evil monkey
U+1F649 ;	emoji ;	234 ;	evil, face, forbidden, gesture, hear, monkey, no, not, prohibited ;	j 	# V6.0 (🙉) hear-no-evil monkey
U+1F64A ;	emoji ;	235 ;	evil, face, forbidden, gesture, monkey, no, not, prohibited, speak ;	j 	# V6.0 (🙊) speak-no-evil monkey
U+1F412 ;	emoji ;	236 ;	animal, monkey, nature ;	j 	# V6.0 (🐒) monkey
U+1F436 ;	emoji ;	237 ;	animal, dog, face, nature ;	j 	# V6.0 (🐶) dog face
U+1F415 ;	emoji ;	238 ;	animal, dog, nature ;	w 	# V6.0 (🐕) dog
U+1F429 ;	emoji ;	239 ;	animal, nature, poodle ;	j 	# V6.0 (🐩) poodle
U+1F43A ;	emoji ;	240 ;	animal, face, nature, wolf ;	j 	# V6.0 (🐺) wolf face
U+1F431 ;	emoji ;	241 ;	animal, cat, face, nature ;	j 	# V6.0 (🐱) cat face
U+1F638 ;	emoji ;	242 ;	animal, cat, eye, face, grin, grinning, nature, smile, smiley, smiling ;	j 	# V6.0 (😸) grinning cat face with smiling eyes
U+1F639 ;	emoji ;	243 ;	animal, cat, face, joy, nature, tears ;	j 	# V6.0 (😹) cat face with tears of joy
U+1F63A ;	emoji ;	244 ;	animal, cat, face, mouth, nature, open, smile, smiley, smiling ;	j 	# V6.0 (😺) smiling cat face with open mouth
U+1F63B ;	emoji ;	245 ;	animal, cat, eye, face, heart, love, nature, smile, smiley, smiling ;	j 	# V6.0 (😻) smiling cat face with heart-shaped eyes
U+1F63C ;	emoji ;	246 ;	animal, cat, face, ironic, nature, smile, smiley, smiling, wry ;	j 	# V6.0 (😼) cat face with wry smile
U+1F63D ;	emoji ;	247 ;	animal, cat, eye, face, kiss, nature ;	j 	# V6.0 (😽) kissing cat face with closed eyes
U+1F63E ;	emoji ;	248 ;	animal, cat, face, nature, pouting ;	j 	# V6.0 (😾) pouting cat face
U+1F63F ;	emoji ;	249 ;	animal, cat, cry, face, nature, sad, tear ;	j 	# V6.0 (😿) crying cat face
U+1F640 ;	emoji ;	250 ;	animal, cat, face, nature, oh, surprised, weary ;	j 	# V6.0 (🙀) weary cat face
U+1F408 ;	emoji ;	251 ;	animal, cat, nature ;	w 	# V6.0 (🐈) cat
U+1F42F ;	emoji ;	252 ;	animal, face, nature, tiger ;	j 	# V6.0 (🐯) tiger face
U+1F405 ;	emoji ;	253 ;	animal, nature, tiger ;	x 	# V6.0 (🐅) tiger
U+1F406 ;	emoji ;	254 ;	animal, leopard, nature ;	x 	# V6.0 (🐆) leopard
U+1F434 ;	emoji ;	255 ;	animal, face, horse, nature ;	j 	# V6.0 (🐴) horse face
U+1F40E ;	emoji ;	256 ;	animal, horse, nature, racehorse ;	j 	# V6.0 (🐎) horse
U+1F42E ;	emoji ;	257 ;	animal, cow, face, nature ;	j 	# V6.0 (🐮) cow face
U+1F402 ;	emoji ;	258 ;	animal, nature, ox ;	x 	# V6.0 (🐂) ox
U+1F403 ;	emoji ;	259 ;	animal, buffalo, nature, water ;	x 	# V6.0 (🐃) water buffalo
U+1F404 ;	emoji ;	260 ;	animal, cow, nature ;	x 	# V6.0 (🐄) cow
U+1F437 ;	emoji ;	261 ;	animal, face, nature, pig ;	j 	# V6.0 (🐷) pig face
U+1F416 ;	emoji ;	262 ;	animal, nature, pig ;	x 	# V6.0 (🐖) pig
U+1F417 ;	emoji ;	263 ;	animal, boar, nature ;	j 	# V6.0 (🐗) boar
U+1F43D ;	emoji ;	264 ;	animal, face, nature, nose, pig ;	j 	# V6.0 (🐽) pig nose
U+1F40F ;	emoji ;	265 ;	animal, nature, ram, sheep ;	x 	# V6.0 (🐏) ram
U+1F411 ;	emoji ;	266 ;	animal, nature, sheep ;	j 	# V6.0 (🐑) sheep
U+1F410 ;	emoji ;	267 ;	animal, goat, nature ;	x 	# V6.0 (🐐) goat
U+1F42A ;	emoji ;	268 ;	animal, camel, dromedary, hump, nature ;	x 	# V6.0 (🐪) dromedary camel
U+1F42B ;	emoji ;	269 ;	animal, bactrian, camel, hump, nature ;	j 	# V6.0 (🐫) bactrian camel
U+1F418 ;	emoji ;	270 ;	animal, elephant, nature ;	j 	# V6.0 (🐘) elephant
U+1F42D ;	emoji ;	271 ;	animal, face, mouse, nature ;	j 	# V6.0 (🐭) mouse face
U+1F401 ;	emoji ;	272 ;	animal, mouse, nature ;	x 	# V6.0 (🐁) mouse
U+1F400 ;	emoji ;	273 ;	animal, nature, rat ;	x 	# V6.0 (🐀) rat
U+1F439 ;	emoji ;	274 ;	animal, face, hamster, nature ;	j 	# V6.0 (🐹) hamster face
U+1F430 ;	emoji ;	275 ;	animal, bunny, face, nature, rabbit ;	j 	# V6.0 (🐰) rabbit face
U+1F407 ;	emoji ;	276 ;	animal, bunny, nature, rabbit ;	x 	# V6.0 (🐇) rabbit
U+1F43F ;	emoji ;	277 ;	animal, chipmunk, nature ;	w 	# V7.0 (🐿) chipmunk
U+1F43B ;	emoji ;	278 ;	animal, bear, face, nature ;	j 	# V6.0 (🐻) bear face
U+1F428 ;	emoji ;	279 ;	animal, bear, koala, nature ;	j 	# V6.0 (🐨) koala
U+1F43C ;	emoji ;	280 ;	animal, face, nature, panda ;	j 	# V6.0 (🐼) panda face
U+1F43E ;	emoji ;	281 ;	animal, feet, nature, paw, print ;	j 	# V6.0 (🐾) paw prints
U+1F414 ;	emoji ;	282 ;	animal, chicken, nature ;	j 	# V6.0 (🐔) chicken
U+1F413 ;	emoji ;	283 ;	animal, nature, rooster ;	x 	# V6.0 (🐓) rooster
U+1F423 ;	emoji ;	284 ;	animal, baby, chick, hatching, nature ;	j 	# V6.0 (🐣) hatching chick
U+1F424 ;	emoji ;	285 ;	animal, baby, chick, nature ;	j 	# V6.0 (🐤) baby chick
U+1F425 ;	emoji ;	286 ;	animal, baby, chick, nature ;	j 	# V6.0 (🐥) front-facing baby chick
U+1F426 ;	emoji ;	287 ;	animal, bird, nature ;	jw 	# V6.0 (🐦) bird
U+1F427 ;	emoji ;	288 ;	animal, nature, penguin ;	j 	# V6.0 (🐧) penguin
U+1F54A ;	emoji ;	289 ;	animal, dove, flying, nature, peace ;	w 	# V7.0 (🕊) dove of peace
U+1F438 ;	emoji ;	290 ;	animal, face, frog, nature ;	j 	# V6.0 (🐸) frog face
U+1F40A ;	emoji ;	291 ;	animal, crocodile, nature ;	x 	# V6.0 (🐊) crocodile
U+1F40D ;	emoji ;	292 ;	animal, nature, snake ;	j 	# V6.0 (🐍) snake
U+1F422 ;	emoji ;	293 ;	animal, nature, turtle ;	j 	# V6.0 (🐢) turtle
U+1F432 ;	emoji ;	294 ;	animal, dragon, face, nature ;	j 	# V6.0 (🐲) dragon face
U+1F409 ;	emoji ;	295 ;	animal, dragon, nature ;	x 	# V6.0 (🐉) dragon
U+1F433 ;	emoji ;	296 ;	animal, face, nature, spouting, whale ;	j 	# V6.0 (🐳) spouting whale
U+1F40B ;	emoji ;	297 ;	animal, nature, whale ;	x 	# V6.0 (🐋) whale
U+1F42C ;	emoji ;	298 ;	animal, dolphin, flipper, nature ;	j 	# V6.0 (🐬) dolphin
U+1F41F ;	emoji ;	299 ;	animal, fish, nature ;	jw 	# V6.0 (🐟) fish
U+1F420 ;	emoji ;	300 ;	animal, fish, nature, tropical ;	j 	# V6.0 (🐠) tropical fish
U+1F421 ;	emoji ;	301 ;	animal, blowfish, nature ;	j 	# V6.0 (🐡) blowfish
U+1F419 ;	emoji ;	302 ;	animal, nature, octopus ;	j 	# V6.0 (🐙) octopus
U+1F41A ;	emoji ;	303 ;	animal, nature, shell, spiral ;	j 	# V6.0 (🐚) spiral shell
U+1F40C ;	emoji ;	304 ;	animal, nature, snail ;	j 	# V6.0 (🐌) snail
U+1F41B ;	emoji ;	305 ;	animal, bug, nature ;	j 	# V6.0 (🐛) bug
U+1F41C ;	emoji ;	306 ;	animal, ant, nature ;	j 	# V6.0 (🐜) ant
U+1F41D ;	emoji ;	307 ;	animal, bee, honeybee, nature ;	j 	# V6.0 (🐝) honeybee
U+1F41E ;	emoji ;	308 ;	animal, beetle, lady, nature ;	j 	# V6.0 (🐞) lady beetle
U+1F577 ;	emoji ;	309 ;	animal, object, spider ;	w 	# V7.0 (🕷) spider
U+1F578 ;	emoji ;	310 ;	animal, object, spider, web ;	w 	# V7.0 (🕸) spider web
U+1F4A9 ;	emoji ;	311 ;	comic, dung, emotion, hankey, nature, object, pile, poo, poop ;	j 	# V6.0 (💩) pile of poo
U+1F479 ;	emoji ;	312 ;	creature, face, fairy tale, fantasy, japanese, ogre ;	j 	# V6.0 (👹) japanese ogre
U+1F47A ;	emoji ;	313 ;	creature, face, fairy tale, fantasy, goblin, japanese ;	j 	# V6.0 (👺) japanese goblin
U+1F47B ;	emoji ;	314 ;	creature, face, fairy tale, fantasy, ghost ;	j 	# V6.0 (👻) ghost
U+1F47D ;	emoji ;	315 ;	alien, animal, creature, extraterrestrial, face, fairy tale, fantasy, nature, ufo ;	jw 	# V6.0 (👽) extraterrestrial alien
U+1F47E ;	emoji ;	316 ;	alien, animal, creature, face, fairy tale, fantasy, monster, nature, ufo ;	j 	# V6.0 (👾) alien monster
U+1F490 ;	emoji ;	317 ;	animal, bouquet, flower, nature, object, romance ;	j 	# V6.0 (💐) bouquet
U+1F395 ;	emoji ;	318 ;	bouquet, celebration, emotion, flower, nature, plant ;	w 	# V7.0 (🎕) bouquet of flowers
U+2698 ;	text ;	319 ;	flower, object ;	x 	# V4.1 (⚘) flower
U+1F338 ;	emoji ;	320 ;	blossom, cherry, flower, nature, plant ;	j 	# V6.0 (🌸) cherry blossom
U+1F4AE ;	emoji ;	321 ;	flower, object ;	j 	# V6.0 (💮) white flower
U+1F3F5 ;	emoji ;	322 ;	nature, rosette ;	w 	# V7.0 (🏵) rosette
U+1F3F6 ;	emoji ;	323 ;	nature, rosette ;	w 	# V7.0 (🏶) black rosette
U+1F339 ;	emoji ;	324 ;	flower, nature, plant, rose ;	j 	# V6.0 (🌹) rose
U+1F33A ;	emoji ;	325 ;	flower, hibiscus, nature, plant ;	j 	# V6.0 (🌺) hibiscus
U+1F33B ;	emoji ;	326 ;	flower, nature, plant, sun, sunflower, weather ;	j 	# V6.0 (🌻) sunflower
U+1F33C ;	emoji ;	327 ;	blossom, flower, nature, plant ;	j 	# V6.0 (🌼) blossom
U+1F337 ;	emoji ;	328 ;	flower, nature, plant, tulip ;	j 	# V6.0 (🌷) tulip
U+2E19 ;	text ;	329 ;	branch, nature, palm, plant ;	x 	# V5.1 (⸙) palm branch
U+2618 ;	text ;	330 ;	nature, plant, shamrock ;	x 	# V4.1 (☘) shamrock
U+1F331 ;	emoji ;	331 ;	nature, plant, seedling, young ;	j 	# V6.0 (🌱) seedling
U+1F332 ;	emoji ;	332 ;	evergreen, nature, plant, tree ;	x 	# V6.0 (🌲) evergreen tree
U+1F333 ;	emoji ;	333 ;	deciduous, nature, plant, shedding, tree ;	x 	# V6.0 (🌳) deciduous tree
U+1F334 ;	emoji ;	334 ;	nature, palm, plant, tree ;	j 	# V6.0 (🌴) palm tree
U+1F335 ;	emoji ;	335 ;	cactus, nature, plant ;	j 	# V6.0 (🌵) cactus
U+1F33E ;	emoji ;	336 ;	ear, nature, plant, rice ;	j 	# V6.0 (🌾) ear of rice
U+1F33F ;	emoji ;	337 ;	herb, leaf, nature, plant ;	j 	# V6.0 (🌿) herb
U+1F340 ;	emoji ;	338 ;	4, clover, four, leaf, nature, plant ;	j 	# V6.0 (🍀) four leaf clover
U+1F341 ;	emoji ;	339 ;	fallen, leaf, maple, nature, plant ;	j 	# V6.0 (🍁) maple leaf
U+1F342 ;	emoji ;	340 ;	fallen, falling, leaf, nature, plant ;	j 	# V6.0 (🍂) fallen leaf
U+1F343 ;	emoji ;	341 ;	blow, fluttering, leaf, leaves, nature, plant, wind ;	j 	# V6.0 (🍃) leaf fluttering in wind
U+1F347 ;	emoji ;	342 ;	food, fruit, grapes, nature, plant ;	j 	# V6.0 (🍇) grapes
U+1F348 ;	emoji ;	343 ;	food, fruit, melon, nature, plant ;	j 	# V6.0 (🍈) melon
U+1F349 ;	emoji ;	344 ;	food, fruit, nature, plant, watermelon ;	j 	# V6.0 (🍉) watermelon
U+1F34A ;	emoji ;	345 ;	food, fruit, nature, orange, plant, tangerine ;	j 	# V6.0 (🍊) tangerine
U+1F34B ;	emoji ;	346 ;	citrus, food, fruit, lemon, nature, plant ;	x 	# V6.0 (🍋) lemon
U+1F34C ;	emoji ;	347 ;	banana, food, fruit, nature, plant ;	j 	# V6.0 (🍌) banana
U+1F34D ;	emoji ;	348 ;	food, fruit, nature, pineapple, plant ;	j 	# V6.0 (🍍) pineapple
U+1F34E ;	emoji ;	349 ;	apple, food, fruit, nature, plant, red ;	j 	# V6.0 (🍎) red apple
U+1F34F ;	emoji ;	350 ;	apple, food, fruit, green, nature, plant ;	j 	# V6.0 (🍏) green apple
U+1F350 ;	emoji ;	351 ;	food, fruit, nature, pear, plant ;	x 	# V6.0 (🍐) pear
U+1F351 ;	emoji ;	352 ;	food, fruit, nature, peach, plant ;	j 	# V6.0 (🍑) peach
U+1F352 ;	emoji ;	353 ;	cherries, cherry, food, fruit, nature, plant ;	j 	# V6.0 (🍒) cherries
U+1F353 ;	emoji ;	354 ;	berry, food, fruit, nature, plant, strawberry ;	j 	# V6.0 (🍓) strawberry
U+1F345 ;	emoji ;	355 ;	food, nature, plant, tomato, vegetable ;	j 	# V6.0 (🍅) tomato
U+1F346 ;	emoji ;	356 ;	aubergine, eggplant, food, nature, plant, vegetable ;	j 	# V6.0 (🍆) aubergine
U+1F33D ;	emoji ;	357 ;	corn, ear, maize, maze, nature, plant ;	j 	# V6.0 (🌽) ear of maize
U+1F336 ;	emoji ;	358 ;	food, hot, nature, pepper, plant ;	w 	# V7.0 (🌶) hot pepper
U+1F344 ;	emoji ;	359 ;	mushroom, nature, plant ;	j 	# V6.0 (🍄) mushroom
U+1F330 ;	emoji ;	360 ;	chestnut, nature, plant ;	j 	# V6.0 (🌰) chestnut
U+1F35E ;	emoji ;	361 ;	bread, food, loaf, restaurant ;	j 	# V6.0 (🍞) bread
U+1F356 ;	emoji ;	362 ;	bone, food, meat, restaurant ;	j 	# V6.0 (🍖) meat on bone
U+1F357 ;	emoji ;	363 ;	chicken, food, leg, poultry, restaurant ;	j 	# V6.0 (🍗) poultry leg
U+1F354 ;	emoji ;	364 ;	burger, food, hamburger, restaurant ;	j 	# V6.0 (🍔) hamburger
U+1F35F ;	emoji ;	365 ;	food, french, fries, restaurant ;	j 	# V6.0 (🍟) french fries
U+1F355 ;	emoji ;	366 ;	food, pizza, restaurant, slice ;	j 	# V6.0 (🍕) slice of pizza
U+1F372 ;	emoji ;	367 ;	food, pot, restaurant, stew ;	j 	# V6.0 (🍲) pot of food
U+1F371 ;	emoji ;	368 ;	bento, box, food, restaurant ;	j 	# V6.0 (🍱) bento box
U+1F358 ;	emoji ;	369 ;	cracker, food, restaurant, rice ;	j 	# V6.0 (🍘) rice cracker
U+1F359 ;	emoji ;	370 ;	ball, food, japanese, restaurant, rice ;	j 	# V6.0 (🍙) rice ball
U+1F35A ;	emoji ;	371 ;	cooked, food, restaurant, rice ;	j 	# V6.0 (🍚) cooked rice
U+1F35B ;	emoji ;	372 ;	curry, food, restaurant, rice ;	j 	# V6.0 (🍛) curry and rice
U+1F35C ;	emoji ;	373 ;	bowl, food, noodle, ramen, restaurant, steaming ;	j 	# V6.0 (🍜) steaming bowl
U+1F35D ;	emoji ;	374 ;	food, pasta, restaurant, spaghetti ;	j 	# V6.0 (🍝) spaghetti
U+1F360 ;	emoji ;	375 ;	food, potato, restaurant, roasted, sweet ;	j 	# V6.0 (🍠) roasted sweet potato
U+1F362 ;	emoji ;	376 ;	food, kebab, oden, restaurant, seafood, skewer, stick ;	j 	# V6.0 (🍢) oden
U+1F363 ;	emoji ;	377 ;	food, restaurant, sushi ;	j 	# V6.0 (🍣) sushi
U+1F364 ;	emoji ;	378 ;	food, fried, prawn, restaurant, shrimp ;	j 	# V6.0 (🍤) fried shrimp
U+1F365 ;	emoji ;	379 ;	cake, fish, food, restaurant, swirl ;	j 	# V6.0 (🍥) fish cake with swirl design
U+1F361 ;	emoji ;	380 ;	dango, dessert, food, japanese, restaurant, skewer, stick, sweet ;	j 	# V6.0 (🍡) dango
U+1F366 ;	emoji ;	381 ;	cream, dessert, food, ice, icecream, restaurant, soft, sweet ;	j 	# V6.0 (🍦) soft ice cream
U+1F367 ;	emoji ;	382 ;	dessert, food, ice, restaurant, shaved, sweet ;	j 	# V6.0 (🍧) shaved ice
U+1F368 ;	emoji ;	383 ;	cream, dessert, food, ice, restaurant, sweet ;	j 	# V6.0 (🍨) ice cream
U+1F369 ;	emoji ;	384 ;	dessert, donut, doughnut, food, restaurant, sweet ;	j 	# V6.0 (🍩) doughnut
U+1F36A ;	emoji ;	385 ;	cookie, dessert, food, restaurant, sweet ;	j 	# V6.0 (🍪) cookie
U+1F382 ;	emoji ;	386 ;	birthday, cake, celebration, dessert, food, sweet ;	j 	# V6.0 (🎂) birthday cake
U+1F370 ;	emoji ;	387 ;	cake, dessert, food, restaurant, shortcake, sliced, sweet ;	j 	# V6.0 (🍰) shortcake
U+1F36B ;	emoji ;	388 ;	bar, chocolate, dessert, food, restaurant, sweet ;	j 	# V6.0 (🍫) chocolate bar
U+1F36C ;	emoji ;	389 ;	candy, dessert, food, restaurant, sweet ;	j 	# V6.0 (🍬) candy
U+1F36D ;	emoji ;	390 ;	candy, dessert, food, lollipop, restaurant, sweet ;	j 	# V6.0 (🍭) lollipop
U+1F36E ;	emoji ;	391 ;	custard, dessert, food, pudding, restaurant, sweet ;	j 	# V6.0 (🍮) custard
U+1F36F ;	emoji ;	392 ;	food, honey, honeypot, pot, restaurant, sweet ;	j 	# V6.0 (🍯) honey pot
U+2615 ;	emoji ;	393 ;	beverage, coffee, drink, food, hot, tea ;	j 	# V4.0 (☕) hot beverage
U+26FE ;	text ;	394 ;	cup, drink, food, square, travel ;	a 	# V5.2 (⛾) cup on black square
U+1F375 ;	emoji ;	395 ;	cup, drink, food, tea, teacup ;	j 	# V6.0 (🍵) teacup without handle
U+1F376 ;	emoji ;	396 ;	bar, bottle, cup, drink, food, restaurant, sake ;	j 	# V6.0 (🍶) sake bottle and cup
U+1F377 ;	emoji ;	397 ;	bar, drink, food, glass, restaurant, wine ;	j 	# V6.0 (🍷) wine glass
U+1F378 ;	emoji ;	398 ;	bar, cocktail, drink, food, glass, restaurant ;	jw 	# V6.0 (🍸) cocktail glass
U+1F379 ;	emoji ;	399 ;	bar, drink, food, restaurant, tropical ;	j 	# V6.0 (🍹) tropical drink
U+1F37A ;	emoji ;	400 ;	bar, beer, drink, food, mug, restaurant ;	j 	# V6.0 (🍺) beer mug
U+1F37B ;	emoji ;	401 ;	bar, beer, beers, clinking, drink, food, mugs, restaurant ;	j 	# V6.0 (🍻) clinking beer mugs
U+1F37C ;	emoji ;	402 ;	baby, bottle, drink, food, milk ;	x 	# V6.0 (🍼) baby bottle
U+1F37D ;	emoji ;	403 ;	food, fork, knife, plate, restaurant ;	w 	# V7.0 (🍽) fork and knife with plate
U+1F374 ;	emoji ;	404 ;	food, fork, knife, restaurant ;	j 	# V6.0 (🍴) fork and knife
U+1F373 ;	emoji ;	405 ;	cooking, egg, food, frying, pan, restaurant ;	j 	# V6.0 (🍳) cooking
U+1F30D ;	emoji ;	406 ;	africa, earth, europe, globe, nature, place ;	w 	# V6.0 (🌍) earth globe europe-africa
U+1F30E ;	emoji ;	407 ;	americas, earth, globe, nature, place ;	w 	# V6.0 (🌎) earth globe americas
U+1F30F ;	emoji ;	408 ;	asia, australia, earth, globe, nature, place ;	jw 	# V6.0 (🌏) earth globe asia-australia
U+1F310 ;	emoji ;	409 ;	globe, meridians, nature, place ;	x 	# V6.0 (🌐) globe with meridians
U+1F5FA ;	emoji ;	410 ;	map, place, world ;	w 	# V7.0 (🗺) world map
U+1F3D4 ;	emoji ;	411 ;	cold, mountain, nature, place, snow ;	w 	# V7.0 (🏔) snow capped mountain
U+26F0 ;	text ;	412 ;	mountain, place ;	a 	# V5.2 (⛰) mountain
U+1F30B ;	emoji ;	413 ;	eruption, place, volcano, weather ;	j 	# V6.0 (🌋) volcano
U+1F5FB ;	emoji ;	414 ;	fuji, mountain, place ;	j 	# V6.0 (🗻) mount fuji
U+1F3D5 ;	emoji ;	415 ;	camping, nature, place ;	w 	# V7.0 (🏕) camping
U+1F3D6 ;	emoji ;	416 ;	beach, nature, place, umbrella ;	w 	# V7.0 (🏖) beach with umbrella
U+1F3DC ;	emoji ;	417 ;	desert, nature, place ;	w 	# V7.0 (🏜) desert
U+1F3DD ;	emoji ;	418 ;	desert, island, nature, place ;	w 	# V7.0 (🏝) desert island
U+1F3DE ;	emoji ;	419 ;	national park, nature, park, place ;	w 	# V7.0 (🏞) national park
U+1F3DF ;	emoji ;	420 ;	place, stadium ;	w 	# V7.0 (🏟) stadium
U+1F3DB ;	emoji ;	421 ;	building, classical, place ;	w 	# V7.0 (🏛) classical building
U+1F3D7 ;	emoji ;	422 ;	building, construction, place ;	w 	# V7.0 (🏗) building construction
U+1F3D8 ;	emoji ;	423 ;	building, house, place ;	w 	# V7.0 (🏘) house buildings
U+1F3D9 ;	emoji ;	424 ;	building, city, place ;	w 	# V7.0 (🏙) cityscape
U+1F3DA ;	emoji ;	425 ;	building, derelict, house, place ;	w 	# V7.0 (🏚) derelict house building
U+1F3E0 ;	emoji ;	426 ;	building, house, place ;	jw 	# V6.0 (🏠) house building
U+1F3E1 ;	emoji ;	427 ;	building, garden, home, house, place ;	j 	# V6.0 (🏡) house with garden
U+26EA ;	emoji ;	428 ;	building, christian, church, cross, place, religion ;	aj 	# V5.2 (⛪) church
U+1F3E2 ;	emoji ;	429 ;	building, office, place ;	j 	# V6.0 (🏢) office building
U+1F3E3 ;	emoji ;	430 ;	building, japanese, office, place, post ;	j 	# V6.0 (🏣) japanese post office
U+1F3E4 ;	emoji ;	431 ;	building, european, office, place, post ;	x 	# V6.0 (🏤) european post office
U+1F3E5 ;	emoji ;	432 ;	building, hospital, place ;	j 	# V6.0 (🏥) hospital
U+1F3E6 ;	emoji ;	433 ;	bank, building, place ;	j 	# V6.0 (🏦) bank
U+1F3E8 ;	emoji ;	434 ;	building, hotel, place ;	j 	# V6.0 (🏨) hotel
U+1F3E9 ;	emoji ;	435 ;	building, hotel, love, place ;	j 	# V6.0 (🏩) love hotel
U+1F3EA ;	emoji ;	436 ;	building, convenience, place, store ;	j 	# V6.0 (🏪) convenience store
U+1F3EB ;	emoji ;	437 ;	building, place, school ;	j 	# V6.0 (🏫) school
U+1F3EC ;	emoji ;	438 ;	building, department, place, store ;	j 	# V6.0 (🏬) department store
U+1F3ED ;	emoji ;	439 ;	building, factory, place ;	jw 	# V6.0 (🏭) factory
U+1F3EF ;	emoji ;	440 ;	building, castle, japanese, place ;	j 	# V6.0 (🏯) japanese castle
U+1F3F0 ;	emoji ;	441 ;	building, castle, european, place ;	j 	# V6.0 (🏰) european castle
U+1F492 ;	emoji ;	442 ;	activity, chapel, place, romance, wedding ;	j 	# V6.0 (💒) wedding
U+26FC ;	text ;	443 ;	graveyard, headstone, object, travel ;	a 	# V5.2 (⛼) headstone graveyard symbol
U+1F5FC ;	emoji ;	444 ;	place, tokyo, tower ;	j 	# V6.0 (🗼) tokyo tower
U+1F5FD ;	emoji ;	445 ;	liberty, place, statue ;	j 	# V6.0 (🗽) statue of liberty
U+1F5FE ;	emoji ;	446 ;	japan, map, place ;	j 	# V6.0 (🗾) silhouette of japan
U+26F2 ;	emoji ;	447 ;	fountain, object, place ;	aj 	# V5.2 (⛲) fountain
U+26FA ;	emoji ;	448 ;	camping, place, tent ;	aj 	# V5.2 (⛺) tent
U+1F301 ;	emoji ;	449 ;	fog, foggy, place, weather ;	j 	# V6.0 (🌁) foggy
U+1F303 ;	emoji ;	450 ;	night, place, star, stars, weather ;	j 	# V6.0 (🌃) night with stars
U+1F304 ;	emoji ;	451 ;	morning, mountain, place, sun, sunrise, weather ;	j 	# V6.0 (🌄) sunrise over mountains
U+1F305 ;	emoji ;	452 ;	morning, place, sun, sunrise, weather ;	j 	# V6.0 (🌅) sunrise
U+1F306 ;	emoji ;	453 ;	building, city, dusk, evening, landscape, place, sunset, weather ;	j 	# V6.0 (🌆) cityscape at dusk
U+1F307 ;	emoji ;	454 ;	building, dusk, place, sunset, weather ;	j 	# V6.0 (🌇) sunset over buildings
U+1F309 ;	emoji ;	455 ;	bridge, night, place, weather ;	j 	# V6.0 (🌉) bridge at night
U+1F30A ;	emoji ;	456 ;	ocean, place, water, wave, waves, weather ;	j 	# V6.0 (🌊) water wave
U+2668 ;	text ;	457 ;	hot, hotsprings, springs, travel ;	aj 	# V1.1 (♨) hot springs
U+1F5FF ;	emoji ;	458 ;	face, moyai, statue, travel ;	j 	# V6.0 (🗿) moyai
U+1F30C ;	emoji ;	459 ;	milky way, place, weather ;	j 	# V6.0 (🌌) milky way
U+1F3A0 ;	emoji ;	460 ;	activity, carousel, entertainment, horse, place ;	j 	# V6.0 (🎠) carousel horse
U+1F3A1 ;	emoji ;	461 ;	activity, amusement park, entertainment, ferris, place, wheel ;	j 	# V6.0 (🎡) ferris wheel
U+1F3A2 ;	emoji ;	462 ;	activity, amusement park, coaster, entertainment, place, roller ;	j 	# V6.0 (🎢) roller coaster
U+1F488 ;	emoji ;	463 ;	barber, place, pole, shop ;	j 	# V6.0 (💈) barber pole
U+1F3AA ;	emoji ;	464 ;	activity, circus, entertainment, place, tent ;	j 	# V6.0 (🎪) circus tent
U+1F3AB ;	emoji ;	465 ;	activity, admission, entertainment, object, place, ticket ;	j 	# V6.0 (🎫) ticket
U+1F3AD ;	emoji ;	466 ;	activity, art, entertainment, face, mask, object, performing, place ;	jw 	# V6.0 (🎭) performing arts
U+1F3B0 ;	emoji ;	467 ;	activity, game, object, place, slot ;	j 	# V6.0 (🎰) slot machine
U+1F682 ;	emoji ;	468 ;	locomotive, railway, steam, train, travel, vehicle ;	x 	# V6.0 (🚂) steam locomotive
U+1F683 ;	emoji ;	469 ;	car, electric, railway, train, tram, travel, trolleybus, vehicle ;	j 	# V6.0 (🚃) railway car
U+1F684 ;	emoji ;	470 ;	railway, shinkansen, speed, train, travel, vehicle ;	j 	# V6.0 (🚄) high-speed train
U+1F685 ;	emoji ;	471 ;	bullet, railway, shinkansen, speed, train, travel, vehicle ;	j 	# V6.0 (🚅) high-speed train with bullet nose
